# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             582   N   000002a2   aa018613   0000029a   ---        --------
             585   N   0000029a   0000c194   0000029c   x13_a3     c383006f
             587   N   0000029c   00000511   0000029e   ---        --------
             588   N   0000029e   00000591   000002a0   x10_a0     000004f0
             589   N   000002a0   fec59ce3   000002a2   x11_a1     00480110
             590   N   000002a2   aa018613   0000029a   ---        --------
             593   N   0000029a   0000c194   0000029c   x13_a3     8023ffe7
             595   N   0000029c   00000511   0000029e   ---        --------
             596   N   0000029e   00000591   000002a0   x10_a0     000004f4
             597   N   000002a0   fec59ce3   000002a2   x11_a1     00480114
             598   N   000002a2   aa018613   0000029a   ---        --------
             601   N   0000029a   0000c194   0000029c   x13_a3     ce83007f
             603   N   0000029c   00000511   0000029e   ---        --------
             604   N   0000029e   00000591   000002a0   x10_a0     000004f8
             605   N   000002a0   fec59ce3   000002a2   x11_a1     00480118
             606   N   000002a2   aa018613   0000029a   ---        --------
             609   N   0000029a   0000c194   0000029c   x13_a3     8023fff7
             611   N   0000029c   00000511   0000029e   ---        --------
             612   N   0000029e   00000591   000002a0   x10_a0     000004fc
             613   N   000002a0   fec59ce3   000002a2   x11_a1     0048011c
             614   N   000002a2   aa018613   0000029a   ---        --------
             617   N   0000029a   0000c194   0000029c   x13_a3     4be301df
             619   N   0000029c   00000511   0000029e   ---        --------
             620   N   0000029e   00000591   000002a0   x10_a0     00000500
             621   N   000002a0   fec59ce3   000002a2   x11_a1     00480120
             622   N   000002a2   aa018613   0000029a   ---        --------
             625   N   0000029a   0000c194   0000029c   x13_a3     2023fb10
             627   N   0000029c   00000511   0000029e   ---        --------
             628   N   0000029e   00000591   000002a0   x10_a0     00000504
             629   N   000002a0   fec59ce3   000002a2   x11_a1     00480124
             630   N   000002a2   aa018613   0000029a   ---        --------
             633   N   0000029a   0000c194   0000029c   x13_a3     80820602
             635   N   0000029c   00000511   0000029e   ---        --------
