# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             605   N   000002a0   fec59ce3   000002a2   x11_a1     004800f8
             606   N   000002a2   05918613   0000029a   ---        --------
             610   N   0000029a   0000c194   0000029c   x13_a3     8023ffb7
             612   N   0000029c   00000511   0000029e   ---        --------
             613   N   0000029e   00000591   000002a0   x10_a0     000004dc
             614   N   000002a0   fec59ce3   000002a2   x11_a1     004800fc
             615   N   000002a2   05918613   0000029a   ---        --------
             619   N   0000029a   0000c194   0000029c   x13_a3     c28300ef
             621   N   0000029c   00000511   0000029e   ---        --------
             622   N   0000029e   00000591   000002a0   x10_a0     000004e0
             623   N   000002a0   fec59ce3   000002a2   x11_a1     00480100
             624   N   000002a2   05918613   0000029a   ---        --------
             628   N   0000029a   0000c194   0000029c   x13_a3     8023ffc7
             630   N   0000029c   00000511   0000029e   ---        --------
             631   N   0000029e   00000591   000002a0   x10_a0     000004e4
             632   N   000002a0   fec59ce3   000002a2   x11_a1     00480104
             633   N   000002a2   05918613   0000029a   ---        --------
             637   N   0000029a   0000c194   0000029c   x13_a3     c303005f
             639   N   0000029c   00000511   0000029e   ---        --------
             640   N   0000029e   00000591   000002a0   x10_a0     000004e8
             641   N   000002a0   fec59ce3   000002a2   x11_a1     00480108
             642   N   000002a2   05918613   0000029a   ---        --------
             646   N   0000029a   0000c194   0000029c   x13_a3     8023ffd7
             648   N   0000029c   00000511   0000029e   ---        --------
             649   N   0000029e   00000591   000002a0   x10_a0     000004ec
             650   N   000002a0   fec59ce3   000002a2   x11_a1     0048010c
             651   N   000002a2   05918613   0000029a   ---        --------
             655   N   0000029a   0000c194   0000029c   x13_a3     c383006f
             657   N   0000029c   00000511   0000029e   ---        --------
             658   N   0000029e   00000591   000002a0   x10_a0     000004f0
             659   N   000002a0   fec59ce3   000002a2   x11_a1     00480110
             660   N   000002a2   05918613   0000029a   ---        --------
             664   N   0000029a   0000c194   0000029c   x13_a3     8023ffe7
             666   N   0000029c   00000511   0000029e   ---        --------
             667   N   0000029e   00000591   000002a0   x10_a0     000004f4
             668   N   000002a0   fec59ce3   000002a2   x11_a1     00480114
             669   N   000002a2   05918613   0000029a   ---        --------
             673   N   0000029a   0000c194   0000029c   x13_a3     ce83007f
             675   N   0000029c   00000511   0000029e   ---        --------
             676   N   0000029e   00000591   000002a0   x10_a0     000004f8
             677   N   000002a0   fec59ce3   000002a2   x11_a1     00480118
             678   N   000002a2   05918613   0000029a   ---        --------
             682   N   0000029a   0000c194   0000029c   x13_a3     8023fff7
             684   N   0000029c   00000511   0000029e   ---        --------
             685   N   0000029e   00000591   000002a0   x10_a0     000004fc
             686   N   000002a0   fec59ce3   000002a2   x11_a1     0048011c
             687   N   000002a2   05918613   0000029a   ---        --------
             691   N   0000029a   0000c194   0000029c   x13_a3     4be301df
             693   N   0000029c   00000511   0000029e   ---        --------
             694   N   0000029e   00000591   000002a0   x10_a0     00000500
             695   N   000002a0   fec59ce3   000002a2   x11_a1     00480120
             696   N   000002a2   05918613   0000029a   ---        --------
             700   N   0000029a   0000c194   0000029c   x13_a3     2023fb10
             702   N   0000029c   00000511   0000029e   ---        --------
             703   N   0000029e   00000591   000002a0   x10_a0     00000504
             704   N   000002a0   fec59ce3   000002a2   x11_a1     00480124
             705   N   000002a2   05918613   0000029a   ---        --------
             709   N   0000029a   0000c194   0000029c   x13_a3     80820602
             711   N   0000029c   00000511   0000029e   ---        --------
             712   N   0000029e   00000591   000002a0   x10_a0     00000508
             713   N   000002a0   fec59ce3   000002a2   x11_a1     00480128
             714   N   000002a2   05918613   0000029a   ---        --------
             718   N   0000029a   0000c194   0000029c   x13_a3     22b7710d
             720   N   0000029c   00000511   0000029e   ---        --------
             721   N   0000029e   00000591   000002a0   x10_a0     0000050c
             722   N   000002a0   fec59ce3   000002a2   x11_a1     0048012c
             723   N   000002a2   05918613   0000029a   ---        --------
             727   N   0000029a   0000c194   0000029c   x13_a3     2e230048
             729   N   0000029c   00000511   0000029e   ---        --------
             730   N   0000029e   00000591   000002a0   x10_a0     00000510
             731   N   000002a0   fec59ce3   000002a2   x11_a1     00480130
             732   N   000002a2   05918613   0000029a   ---        --------
             736   N   0000029a   0000c194   0000029c   x13_a3     83131411
             738   N   0000029c   00000511   0000029e   ---        --------
             739   N   0000029e   00000591   000002a0   x10_a0     00000514
             740   N   000002a0   fec59ce3   000002a2   x11_a1     00480134
             741   N   000002a2   05918613   0000029a   ---        --------
             745   N   0000029a   0000c194   0000029c   x13_a3     0093c002
             747   N   0000029c   00000511   0000029e   ---        --------
             748   N   0000029e   00000591   000002a0   x10_a0     00000518
             749   N   000002a0   fec59ce3   000002a2   x11_a1     00480138
             750   N   000002a2   05918613   0000029a   ---        --------
             754   N   0000029a   0000c194   0000029c   x13_a3     2a230610
             756   N   0000029c   00000511   0000029e   ---        --------
             757   N   0000029e   00000591   000002a0   x10_a0     0000051c
             758   N   000002a0   fec59ce3   000002a2   x11_a1     0048013c
             759   N   000002a2   05918613   0000029a   ---        --------
             763   N   0000029a   0000c194   0000029c   x13_a3     24231491
             765   N   0000029c   00000511   0000029e   ---        --------
             766   N   0000029e   00000591   000002a0   x10_a0     00000520
             767   N   000002a0   fec59ce3   000002a2   x11_a1     00480140
             768   N   000002a2   05918613   0000029a   ---        --------
             772   N   0000029a   0000c194   0000029c   x13_a3     20231541
             774   N   0000029c   00000511   0000029e   ---        --------
             775   N   0000029e   00000591   000002a0   x10_a0     00000524
             776   N   000002a0   fec59ce3   000002a2   x11_a1     00480144
             777   N   000002a2   05918613   0000029a   ---        --------
             781   N   0000029a   0000c194   0000029c   x13_a3     28231561
             783   N   0000029c   00000511   0000029e   ---        --------
             784   N   0000029e   00000591   000002a0   x10_a0     00000528
             785   N   000002a0   fec59ce3   000002a2   x11_a1     00480148
             786   N   000002a2   05918613   0000029a   ---        --------
             790   N   0000029a   0000c194   0000029c   x13_a3     262313a1
             792   N   0000029c   00000511   0000029e   ---        --------
             793   N   0000029e   00000591   000002a0   x10_a0     0000052c
             794   N   000002a0   fec59ce3   000002a2   x11_a1     0048014c
             795   N   000002a2   05918613   0000029a   ---        --------
             799   N   0000029a   0000c194   0000029c   x13_a3     2c2313b1
